math score,reading score,writing score
0.3900235098032764,0.19399858403803502,0.3914918076496706
0.19207552648237824,1.4274759816659497,1.3132686840532009
1.577711409728665,1.7701085921181483,1.6424747113401759
-1.2595430178708746,-0.8338992473185606,-1.5837443560721798
0.6539541542311406,0.6051577165806732,0.45733301310706564
0.32404084869631034,0.9477903270328718,0.6548566294792506
1.445746087514733,1.7701085921181483,1.5766335058827807
-1.721421645619637,-1.7932705565847165,-1.9129503833591548
-0.13783777905245198,-0.35421359268548264,-0.06939663055209448
-1.853386967833569,-0.6283196810472415,-1.1886971233278096
-0.5337337456942483,-1.0394788135898796,-1.0570147124130196
-1.721421645619637,-1.176531857770759,-1.6495855615295747
-0.07185511794548592,0.8107372828519923,0.3256506021922756
0.7859194764450727,0.19399858403803502,0.12812698582009055
-1.0615950345499765,-1.1080053356803194,-0.6619674796686495
0.19207552648237824,0.3995781503093541,0.6548566294792506
1.445746087514733,1.35894945957551,1.1815862731384108
-3.1730401899728897,-2.547062299579553,-2.6372036433905
-1.3255256789778407,-1.861797078675156,-1.4520619451573897
-0.7976643901221123,-0.7653727252281208,-0.46444386329646453
-0.005872456838519888,-0.0115809822332841,-0.33276145238167454
-0.07185511794548592,0.3995781503093541,0.12812698582009055
-1.4574910011917728,-1.0394788135898796,-0.9911735069556247
0.19207552648237824,0.26252510612847474,0.3256506021922756
0.5219888320172085,0.1254720619475953,0.7865390403940407
0.45600617091024237,0.33105162821891443,0.25980939673488057
0.19207552648237824,-1.0394788135898796,-0.8594910960408346
0.060110204268446155,-0.0115809822332841,0.45733301310706564
0.2580581875893443,0.05694553985715561,-0.2010790414668845
-0.26980310126638407,0.05694553985715561,0.45733301310706564
0.19207552648237824,0.33105162821891443,0.3914918076496706
-0.203820440159418,-0.2856870705950429,-0.46444386329646453
-0.6656990679081803,0.19399858403803502,-0.2010790414668845
-1.721421645619637,-1.861797078675156,-1.97879158881655
2.0395900374774274,1.2218964153946306,0.9182214513088307
0.9838674597659707,0.8107372828519923,0.7206978349366456
0.5219888320172085,0.8107372828519923,0.9840626567662257
